stage,split_name,model,n_features,n_predictions,usable_folds,skipped_folds,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,calibration_mean_predicted,calibration_observed_rate,status
gaze_only,participant_grouped_kfold,logistic_regression,7,120000,5,0,0.5957969872908451,0.35654447355666097,0.591820316814767,0.5811945821618506,0.23739922304519961,0.48848841449565794,0.245275,complete
gaze_plus_lexical_classical,participant_grouped_kfold,logistic_regression,12,120000,5,0,0.6130278264288895,0.36645441285082886,0.5929747754550245,0.580979791494163,0.23623696368998726,0.4870020146579607,0.245275,complete
gaze_plus_dfm_lm,participant_grouped_kfold,logistic_regression,9,120000,5,0,0.6068609069108177,0.3623135419550705,0.5937612013949374,0.582510742871264,0.23685135700255167,0.4877432539422975,0.245275,complete
gaze_plus_segmentation,participant_grouped_kfold,logistic_regression,10,120000,5,0,0.5971391884712423,0.3571406184977491,0.5914933053103291,0.5809032975656965,0.2374186412968691,0.4884529448933764,0.245275,complete
gaze_plus_dfm_plus_segmentation,participant_grouped_kfold,logistic_regression,12,120000,5,0,0.607254356782837,0.3622839861622129,0.5934944930010955,0.5822979908781472,0.2368606384209757,0.48769516624037335,0.245275,complete
full_validated_feature_set,participant_grouped_kfold,logistic_regression,18,120000,5,0,0.614323156451753,0.3662372321100075,0.5926584566180391,0.5800671993967278,0.23618365889034595,0.486586104739571,0.245275,complete
