outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type
skip,logistic,intercept,-0.15511766979451097,,,,,100000,regularized_logistic_regression
skip,logistic,reader_group_binary_num,-0.5425567031431365,0.1200876908238221,0.0,-0.7368687801272511,-0.3951351856478038,100000,regularized_logistic_regression
skip,logistic,word_length_chars_z,-0.6798412723513574,0.03471686174869,0.0,-0.7589395775641143,-0.6441181937738318,100000,regularized_logistic_regression
skip,logistic,reader_group_x_word_length_chars_z,0.013566923911536362,0.12902443419612017,1.0,-0.2243919850031097,0.16672968183084233,100000,regularized_logistic_regression
skip,logistic,log_corpus_frequency_z,0.16079869512533357,0.03220592886716099,0.0,0.11903582852006783,0.21822907683636725,100000,regularized_logistic_regression
skip,logistic,reader_group_x_log_corpus_frequency_z,-0.04409380587318098,0.0757379303620933,0.5,-0.1661742062186706,0.06008723015284952,100000,regularized_logistic_regression
skip,logistic,dfm_lm_word_surprisal_z,-0.04811766114122147,0.033060573009843525,0.0,-0.10005015427865549,-0.0029324193026957364,100000,regularized_logistic_regression
skip,logistic,reader_group_x_dfm_lm_word_surprisal_z,-0.0006230701647677102,0.06867826627073281,1.0,-0.11883800147268937,0.06013751096321715,100000,regularized_logistic_regression
skip,logistic,dfm_lm_word_entropy_z,-0.016640728883123013,0.01782538881223692,0.16666666666666666,-0.05133247585508949,0.008858869445425136,100000,regularized_logistic_regression
skip,logistic,reader_group_x_dfm_lm_word_entropy_z,-0.02198642578781755,0.037435315465066246,0.6666666666666666,-0.061629684658132344,0.044616620444416805,100000,regularized_logistic_regression
skip,logistic,prev_boundary_opacity_score_z,0.032620225846488174,0.028417851220259402,0.3333333333333333,-0.011509932563633512,0.07033712169790092,100000,regularized_logistic_regression
skip,logistic,reader_group_x_prev_boundary_opacity_score_z,0.013834633757789948,0.06092109780870053,0.8333333333333334,-0.08208272417556237,0.10131316712869458,100000,regularized_logistic_regression
skip,logistic,vv_indicator_z,0.02172384692223175,0.024418133391965424,0.3333333333333333,-0.018016410364316376,0.06167417100018846,100000,regularized_logistic_regression
skip,logistic,reader_group_x_vv_indicator_z,0.019661010563898188,0.05254980701581375,0.6666666666666666,-0.0655921120554212,0.10132430155237108,100000,regularized_logistic_regression
skip,logistic,sentence_length_words_z,-0.007157681921228361,0.021043837082568406,0.5,-0.05150815011055567,0.01234553112817467,100000,regularized_logistic_regression
skip,logistic,reader_group_x_sentence_length_words_z,-0.029802719343486266,0.04388970199722823,0.6666666666666666,-0.0721162616093407,0.06527826706294822,100000,regularized_logistic_regression
skip,logistic,speech_10440,0.04671353331709306,0.24546557100893712,0.5,-0.09472543022857026,0.6052035435272554,100000,regularized_logistic_regression
skip,logistic,speech_11171,0.3104494482519829,0.2792400540959314,0.0,0.24601427964030692,1.0638949246939633,100000,regularized_logistic_regression
skip,logistic,speech_1125,0.025872139067479757,0.20522759301485805,0.3333333333333333,-0.0861277377392497,0.5587109375934816,100000,regularized_logistic_regression
skip,logistic,speech_1165,0.05675296882411382,0.14761464112576525,0.3333333333333333,-0.08894731832773922,0.3823856783513089,100000,regularized_logistic_regression
skip,logistic,speech_12063,0.3305856732194206,0.3144060469799295,0.3333333333333333,-0.027099090681199714,0.8947492572072209,100000,regularized_logistic_regression
skip,logistic,speech_1317,0.10105423351941081,0.21107740234935607,0.16666666666666666,-0.18917551842378003,0.4861914680517304,100000,regularized_logistic_regression
skip,logistic,speech_1318,0.21753688309630617,0.13361667386282028,0.0,0.09179049863303784,0.5065846248560294,100000,regularized_logistic_regression
skip,logistic,speech_1323,0.1666205070721785,0.22855240810642521,0.16666666666666666,-0.00976860558191834,0.6888651445878812,100000,regularized_logistic_regression
skip,logistic,speech_17526,0.09777709524419476,0.19410684754060742,0.16666666666666666,-0.045981435176841785,0.5988431154621001,100000,regularized_logistic_regression
skip,logistic,speech_18473,0.1589389885035502,0.26109183757295285,0.0,0.041443904117878905,0.8021922587537209,100000,regularized_logistic_regression
skip,logistic,speech_18561,0.2969970943275982,0.2185205078132664,0.0,0.1703491219623448,0.8296704387199572,100000,regularized_logistic_regression
skip,logistic,speech_18670,0.35883216542181007,0.1103563891085492,0.0,0.19626679057320706,0.5720462170455713,100000,regularized_logistic_regression
skip,logistic,speech_202150,-0.6575168831016578,0.4774325026363987,0.6666666666666666,-1.194256431195824,0.0,100000,regularized_logistic_regression
skip,logistic,speech_202151,-0.5035793150097422,0.4349291861605599,1.0,-0.9270287859614886,0.3158204208757227,100000,regularized_logistic_regression
skip,logistic,speech_202152,-0.6657506478099238,0.34719232790044136,0.6666666666666666,-0.9089051954791387,0.0,100000,regularized_logistic_regression
