outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type,model_family
skip,logistic,intercept,-0.21013055658788593,,,,,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,prev_boundary_opacity_score_z,0.03047035209786703,0.04333071830631433,0.3333333333333333,-0.015851150200885736,0.11920916594273923,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,vv_indicator_z,0.009955069000559001,0.019378127280236697,0.5,-0.03545633892715823,0.022807713462376082,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,vocoid_run_cross_boundary_z,0.00981663834943681,0.04004276230049337,0.6666666666666666,-0.06611307999902787,0.05861257280792629,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,word_length_chars_z,-0.6840400567929531,0.04336215855258719,0.0,-0.7884056527015197,-0.6478401887308423,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,log_corpus_frequency_z,0.1699705475599754,0.034250916566068004,0.0,0.13214330944337035,0.22716951144359332,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,dfm_lm_word_surprisal_z,-0.024099532718376053,0.027560832278839664,0.5,-0.06306660866695622,0.017383052966747768,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,dfm_lm_word_entropy_z,-0.013879561355735705,0.015809580951206867,0.6666666666666666,-0.026372470410592173,0.015621166163094793,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,sentence_length_words_z,-0.035575672027312405,0.017209936659855953,0.0,-0.057340059600728036,-0.004433212838632156,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,word_position_in_sentence_norm_z,0.10068940044919418,0.020699047063841996,0.0,0.06627458319088574,0.1313634727262695,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_10440,0.07157135619400629,0.2217999449872431,0.6666666666666666,-0.36717157771059444,0.3079334023904225,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_11171,0.2821158879546617,0.22051087432584807,0.3333333333333333,-0.03962576584502108,0.6562518685860035,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_1125,-0.1044210486756745,0.19353884927048332,0.6666666666666666,-0.45554911350869004,0.11830829715048657,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_1165,-0.05978198269399217,0.21127605355539034,0.8333333333333334,-0.42730759669177504,0.22286076908301172,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_12063,0.3402281284891473,0.23847486734606757,0.3333333333333333,-0.18920688367554306,0.5782257891278888,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_1317,0.012781605880273408,0.19966002951159886,0.8333333333333334,-0.2963852562064249,0.34276943350421946,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_1318,0.21577266037602053,0.14867750284131623,0.3333333333333333,-0.03680529680052942,0.40071987162552736,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_1323,0.057802192353718494,0.20240420510879173,0.8333333333333334,-0.2800791255299679,0.25812944972209617,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_17526,0.03509141279179528,0.24474805682022172,0.6666666666666666,-0.4605870088328017,0.3034560597343405,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_18473,0.08671542659011806,0.18313397450368615,0.3333333333333333,-0.2534724815725016,0.34652060484273783,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_18561,0.22362061007318118,0.21394464925781087,0.3333333333333333,-0.16053072742416655,0.48497210497673615,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_18670,0.33094757370025935,0.23715578567006382,0.3333333333333333,-0.08986714038044892,0.6784160091091591,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202150,-0.4243665913544052,0.39237855204276817,1.0,-0.9703462961182,0.09027687306714186,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202151,-0.31200387568722643,0.574939276394963,1.0,-1.3161335686463118,0.5962466487966854,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202152,-0.5968323496769661,0.45388948231097465,1.0,-1.1860266160282218,0.23120476432509712,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202201,0.5557999888384113,0.48687658162123054,0.3333333333333333,-0.6115004017883824,0.8862596668475042,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202202,0.31589139879521827,0.5007394235782342,0.5,-0.2814506017899492,1.2755519772694257,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202203,0.5717397285017909,0.38041015920656013,0.5,-0.3203618143869887,0.884807356199606,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202204,-0.4164270943442037,0.479812907946026,0.6666666666666666,-1.3032552077823807,0.13849536155916034,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202205,0.008153274734289132,0.22916163945165344,0.6666666666666666,-0.6235818460379728,0.05586855441444573,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202206,-0.48751043867767885,0.40503088832767276,0.5,-1.1265033386276446,0.0,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202207,-0.19984922032486496,0.5534687533264847,0.3333333333333333,-1.48293760373436,0.09397030502866682,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202208,-0.07858266640522721,0.3685587532059352,0.3333333333333333,-0.8905956827433346,0.14302956216008128,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_202209,1.1056775949866426,0.5590144110339346,0.5,-0.12034376178693987,1.3556091327459967,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_22811,0.11450640562034266,0.3129138861220994,0.6666666666666666,-0.4490260562064643,0.5747112080519596,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_26670,0.11633046504196856,0.23553311765628546,0.8333333333333334,-0.4473111404378426,0.30690462734951973,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_26682,0.19473813332072326,0.3108453172115363,0.5,-0.30056307492234746,0.7071356469887711,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_7797,-0.1661663751049254,0.1913092082999493,0.3333333333333333,-0.5740958898245125,0.017274622112540213,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_7856,0.04160953787168303,0.14884572932677123,0.5,-0.2894261816023627,0.1922796188920605,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_7905,0.09245964711975382,0.16432375956400885,1.0,-0.17305958445093272,0.2855518949425978,100000,regularized_logistic_regression,opacity_controlled
skip,logistic,speech_7946,0.3560703436050354,0.16274517478870643,0.16666666666666666,-0.044068723424011164,0.4879912715068988,100000,regularized_logistic_regression,opacity_controlled
log_ffd,linear,intercept,5.2834346081418255,,,,,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,prev_boundary_opacity_score_z,0.003588916896455396,0.00764333640727853,0.6666666666666666,-0.009328215478530185,0.012579813784337186,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,vv_indicator_z,-0.0027918432883036345,0.003564180026645095,0.5,-0.008485193511727955,0.002973009563358382,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,vocoid_run_cross_boundary_z,-0.0030518338617968863,0.007194216603809702,0.6666666666666666,-0.011790824513358184,0.00848493549652987,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,word_length_chars_z,-0.005431100076626899,0.0028142998252037744,0.16666666666666666,-0.00803125935079276,0.0009666411209988176,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,log_corpus_frequency_z,-0.007477855578124248,0.003953721753224547,0.0,-0.01514414094112049,-0.0018980452190082689,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,dfm_lm_word_surprisal_z,0.010719474921172556,0.0036713145691583344,0.0,0.005967203092122533,0.017235651658474037,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,dfm_lm_word_entropy_z,-0.0005422516850635609,0.0024019417782601866,0.6666666666666666,-0.00302315772951822,0.00455269733137061,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,sentence_length_words_z,0.0007733589277139164,0.003546828923324361,0.6666666666666666,-0.0035529292556072197,0.006544430050967837,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,word_position_in_sentence_norm_z,0.009525541047537155,0.0031497704074397513,0.0,0.004506188727355525,0.013078172647688287,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_10440,0.05723684024894959,0.06815239871444682,0.5,-0.037246525014801704,0.17011187904610986,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_11171,0.0600785408849674,0.06060299651163125,0.0,0.011400489156673193,0.19276938556960313,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_1125,0.11445500453333031,0.05443481829523049,0.0,0.030834128722655493,0.18992788547311565,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_1165,0.04126849603776228,0.05049982086821402,0.3333333333333333,-0.04441526413746598,0.12709734934122463,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_12063,0.012539415749537899,0.060853564167563434,0.6666666666666666,-0.0905109823074108,0.09465098182092403,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_1317,0.11785227350648554,0.053487655894646574,0.0,0.045091957460992316,0.2049841254892928,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_1318,0.0348322846496049,0.03842324573365445,0.3333333333333333,-0.0079969282791658,0.11291752528280614,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_1323,0.054643318227463655,0.036775880418488595,0.3333333333333333,-0.016924004042556076,0.0910886533401183,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_17526,0.09163590187472845,0.05483599211860426,0.16666666666666666,0.002954153147102001,0.17199346711716798,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_18473,0.090791835816279,0.047507147558077105,0.0,0.03547679718816692,0.1730090351907961,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_18561,0.05188993745043062,0.05108553821699745,0.3333333333333333,-0.05880741269100926,0.11253864611507686,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_18670,0.0683852980399492,0.03703582115759195,0.16666666666666666,-0.007274497274648197,0.10993235497144256,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202150,0.3195456400349553,0.1786862237665325,0.6666666666666666,0.0,0.46422077939869016,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202151,0.20802584557990245,0.11289338800328606,0.6666666666666666,0.0,0.30666460501004267,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202152,0.2348255058175006,0.1124149438523,0.6666666666666666,0.0,0.29557556388733885,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202201,-0.08918543863957673,0.06861576753044264,0.16666666666666666,-0.2146741942107297,-0.004615873915602882,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202202,-0.07672693656258132,0.09661827894107905,0.5,-0.22798111592081455,0.07371942672892534,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202203,-0.08350937197253827,0.09753816614768535,0.3333333333333333,-0.28715397413406246,0.0,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202204,-0.027350019216293767,0.08639356233897176,0.8333333333333334,-0.21509318562593444,0.07811250813895478,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202205,-0.017865587831059206,0.07865685582414693,0.6666666666666666,-0.2133820839299573,0.041502335435163795,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202206,0.04717240884221012,0.04567376148101227,0.6666666666666666,-0.04222106756221218,0.1021457088835481,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202207,0.018764381939486856,0.07259935117411756,0.8333333333333334,-0.1230840537969185,0.09283418291117587,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202208,0.008338694940458403,0.06177541935710286,1.0,-0.11272495858839379,0.0858960519350975,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_202209,-0.0798296495899931,0.0738633545966163,0.8333333333333334,-0.149034847293048,0.07973824472358237,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_22811,0.06473818930012852,0.05400982798516509,0.6666666666666666,-0.03806504967820287,0.1166840450684855,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_26670,0.03782961264674664,0.06139613017034369,0.8333333333333334,-0.0871072492267063,0.1070073882953576,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_26682,0.05043454095880542,0.03843782336711945,0.5,-0.03848614973165946,0.08820312518605655,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_7797,0.04522763279784393,0.035500333787734935,0.3333333333333333,-0.03204627949065202,0.07973484031679112,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_7856,0.0185492267370707,0.024194850993272586,0.6666666666666666,-0.0239691084762809,0.04778816335168657,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_7905,0.0668547650175352,0.05471246623018487,0.3333333333333333,-0.04915265153018102,0.1329345723464167,62306,ridge_linear_regression,opacity_controlled
log_ffd,linear,speech_7946,0.06675202392060323,0.0412464866513141,0.16666666666666666,-0.005917777754804249,0.12587684183559864,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,intercept,5.4027518607976495,,,,,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,prev_boundary_opacity_score_z,0.00478453759831126,0.005781999429893721,0.5,-0.006162708695535564,0.012870433662166787,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,vv_indicator_z,-0.0020067352332729716,0.004864766146139661,0.6666666666666666,-0.007533763833832542,0.008069831453042941,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,vocoid_run_cross_boundary_z,-0.005430528615411096,0.00528028376846755,0.3333333333333333,-0.01326959192853167,0.0008830802506159511,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,word_length_chars_z,0.12202211851578929,0.008369215478312847,0.0,0.11066065495173605,0.1352013398013937,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,log_corpus_frequency_z,0.018966824902317807,0.005233461240929503,0.0,0.007165718769738597,0.02298983062829445,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,dfm_lm_word_surprisal_z,0.03102569832934382,0.00594669962445288,0.0,0.023083885943072244,0.041300965934420154,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,dfm_lm_word_entropy_z,0.007727838084488249,0.0038433687284609645,0.16666666666666666,-0.00012668881636424792,0.012194918134389405,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,sentence_length_words_z,-0.0004418512562420665,0.003180656117354093,0.6666666666666666,-0.004930818761769504,0.004423696623124697,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,word_position_in_sentence_norm_z,0.005966560230733421,0.003050129422387332,0.0,0.00041932302952749675,0.010056779859380234,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_10440,0.05825893077950224,0.08443801895647937,0.3333333333333333,-0.08842841378632312,0.16643593458155573,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_11171,0.07109354710605918,0.0636899206532618,0.16666666666666666,-0.026209248209094503,0.18900312746727793,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_1125,0.1355832636404601,0.05442804169486121,0.0,0.060394048386730605,0.21834953013378366,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_1165,0.05355212496785083,0.06307963965468717,0.16666666666666666,-0.04799476097386811,0.14872671458962958,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_12063,0.027171937552435337,0.06415781023529064,0.6666666666666666,-0.11715987956354423,0.07778537547354636,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_1317,0.1581357304135044,0.06073295406474849,0.0,0.0723318873235081,0.26240268752084084,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_1318,0.049724143053586065,0.05316449183181272,0.3333333333333333,-0.016008572351033968,0.15127195529456952,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_1323,0.06107114911095521,0.07529812896872465,0.3333333333333333,-0.05275621865313986,0.17467164358868562,62306,ridge_linear_regression,opacity_controlled
