evaluation_level,split_regime,feature_group,prefix_type,prefix_value,threshold_source,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,source_name
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,100,fixed_0_5,57.0,57.0,0.0,0.7950138504155124,0.7063895401144649,0.6973684210526316,0.6826072715361939,0.22604719582762528,0.6842105263157895,0.7105263157894737,0.2894736842105263,0.3157894736842105,0.22907083175451376,0.044513666264561734,0.3546190319365922,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,1000,fixed_0_5,57.0,57.0,0.0,0.8587257617728532,0.7982738450874347,0.7105263157894737,0.6984126984126984,0.1832485327427672,0.6842105263157895,0.7368421052631579,0.2631578947368421,0.3157894736842105,0.18472994188235634,0.052072868250588183,0.37591437584693044,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,250,fixed_0_5,57.0,57.0,0.0,0.8933518005540166,0.843472187502003,0.7894736842105263,0.761352657004831,0.16312557574346032,0.8421052631578947,0.7368421052631579,0.2631578947368421,0.15789473684210525,0.17802244780928184,0.05343115650834879,0.37032000826752354,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,50,fixed_0_5,57.0,57.0,0.0,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.24167489395729164,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.21671923660988412,0.027954265160587084,0.3544626794445688,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,500,fixed_0_5,57.0,57.0,0.0,0.8975069252077562,0.8461281620569545,0.8026315789473684,0.7905111927831607,0.14366986517249483,0.7894736842105263,0.8157894736842105,0.18421052631578946,0.21052631578947367,0.15343165004992,0.051689164116470517,0.38287765188773343,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,chronological_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9044321329639889,0.8925663517768783,0.8289473684210527,0.8115079365079365,0.12191770072645394,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.12763004675722056,0.05585410994384409,0.3862411364000264,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,speech_prefix,1,fixed_0_5,57.0,57.0,0.0,0.8684210526315789,0.8002103566776451,0.7763157894736842,0.768918918918919,0.16234795203448057,0.7368421052631579,0.8157894736842105,0.18421052631578946,0.2631578947368421,0.1481408022789951,0.05338998578696296,0.3658317286939841,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,speech_prefix,2,fixed_0_5,55.0,55.0,0.0,0.8228228228228228,0.7597893711575108,0.6981981981981982,0.6857142857142857,0.19454249336241852,0.6666666666666666,0.7297297297297297,0.2702702702702703,0.3333333333333333,0.1858553397770085,0.04524202153906814,0.37388366987551014,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,speech_prefix,3,fixed_0_5,43.0,43.0,0.0,0.8545454545454545,0.7373268398268398,0.7787878787878788,0.7243589743589745,0.1671530023340149,0.8,0.7575757575757576,0.24242424242424243,0.2,0.1714427575026339,0.07262258194831715,0.3021041510804044,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,speech_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9044321329639889,0.8925663517768783,0.8289473684210527,0.8115079365079365,0.12191770072645394,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.12763004675722056,0.05585410994384409,0.3862411364000264,
