split_regime,fold_id,feature_group,accumulator,threshold_source,clean_result,official_claim_allowed,stopping_policy,coverage,undecided_rate,mean_words_to_decision,median_words_to_decision,mean_texts_to_decision,mean_evidence_cost,earliness_score,group_specific_coverage,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,fixed_0_5,True,False,no_stop_all_evidence,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12708841684721897,0.8,0.9,0.1,0.2,0.19212549813593346,0.1783813774240482,0.45434165142972677
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,fixed_0_5,True,False,fixed_0_5_at_each_prefix,1.0,0.0,50.0,50.0,1.0,0.1631392733225344,0.8368607266774657,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.2100685897565519,0.4,0.9,0.1,0.6,0.10044609972073114,0.3021730197400791,0.43080719176369403
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,two_sided_confidence_policy,0.8666666666666667,0.1333333333333333,153.84615384615384,100.0,1.0,0.16470536822316628,0.8352946317768338,dyslexia_labeled:0.800;typical_control:0.900,0.7222222222222222,0.5700757575757576,0.6944444444444444,0.706766917293233,0.1766273002836179,0.5,0.8888888888888888,0.1111111111111111,0.5,0.03974485989968007,0.1880590242826721,0.43824288919986626
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12708841684721897,0.8,0.9,0.1,0.2,0.19212549813593346,0.1783813774240482,0.45434165142972677
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,cost_sensitive_online_policy,0.8666666666666667,0.1333333333333333,153.84615384615384,100.0,1.0,0.16470536822316628,0.8352946317768338,dyslexia_labeled:0.800;typical_control:0.900,0.7222222222222222,0.5700757575757576,0.6944444444444444,0.706766917293233,0.1766273002836179,0.5,0.8888888888888888,0.1111111111111111,0.5,0.03974485989968007,0.1880590242826721,0.43824288919986626
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,target_sensitivity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12708841684721897,0.8,0.9,0.1,0.2,0.19212549813593346,0.1783813774240482,0.45434165142972677
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,target_specificity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12708841684721897,0.8,0.9,0.1,0.2,0.19212549813593346,0.1783813774240482,0.45434165142972677
participant_grouped_kfold,0,all_allowed_online,beta_binomial_posterior,inner_oof,True,False,coverage_constrained_policy,0.8666666666666667,0.1333333333333333,153.84615384615384,100.0,1.0,0.16470536822316628,0.8352946317768338,dyslexia_labeled:0.800;typical_control:0.900,0.7222222222222222,0.5700757575757576,0.6944444444444444,0.706766917293233,0.1766273002836179,0.5,0.8888888888888888,0.1111111111111111,0.5,0.03974485989968007,0.1880590242826721,0.43824288919986626
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,fixed_0_5,True,False,no_stop_all_evidence,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8,0.784688995215311,0.1454398244974641,0.8,0.8,0.2,0.2,0.20310469781290147,0.08726572767390103,0.4628496367332778
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,fixed_0_5,True,False,fixed_0_5_at_each_prefix,1.0,0.0,50.0,50.0,1.0,0.1631392733225344,0.8368607266774657,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.24642369482370935,0.4,0.9,0.1,0.6,0.26772061516685924,0.02873162486906799,0.4141325309163855
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,two_sided_confidence_policy,1.0,0.0,63.333333333333336,50.0,1.0,0.16510294538929926,0.8348970546107009,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.6000000000000001,0.6031746031746031,0.27884018782850795,0.4,0.8,0.2,0.6,0.27033543952734085,0.025688489790290907,0.4025154332819307
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8,0.784688995215311,0.1454398244974641,0.8,0.8,0.2,0.2,0.20310469781290147,0.08726572767390103,0.4628496367332778
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,cost_sensitive_online_policy,1.0,0.0,63.333333333333336,50.0,1.0,0.16510294538929926,0.8348970546107009,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.6000000000000001,0.6031746031746031,0.27884018782850795,0.4,0.8,0.2,0.6,0.27033543952734085,0.025688489790290907,0.4025154332819307
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,target_sensitivity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8,0.784688995215311,0.1454398244974641,0.8,0.8,0.2,0.2,0.20310469781290147,0.08726572767390103,0.4628496367332778
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,target_specificity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8,0.784688995215311,0.1454398244974641,0.8,0.8,0.2,0.2,0.20310469781290147,0.08726572767390103,0.4628496367332778
participant_grouped_kfold,0,all_allowed_online,entropy_weighted,inner_oof,True,False,coverage_constrained_policy,1.0,0.0,63.333333333333336,50.0,1.0,0.16510294538929926,0.8348970546107009,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.6000000000000001,0.6031746031746031,0.27884018782850795,0.4,0.8,0.2,0.6,0.27033543952734085,0.025688489790290907,0.4025154332819307
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,fixed_0_5,True,False,no_stop_all_evidence,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.94,0.925,0.8,0.8295454545454546,0.10171290615011296,0.6,1.0,0.0,0.4,0.17042538486934455,0.21808539575178618,0.6133339881831363
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,fixed_0_5,True,False,fixed_0_5_at_each_prefix,1.0,0.0,50.0,50.0,1.0,0.1631392733225344,0.8368607266774657,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.24009084609949602,0.4,0.9,0.1,0.6,0.2669474037242801,0.09555720056613866,0.5169745236165916
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,two_sided_confidence_policy,1.0,0.0,66.66666666666667,50.0,1.0,0.16587692632785822,0.8341230736721418,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.22894425343983213,0.4,0.9,0.1,0.6,0.1759075451786058,0.10153841932425335,0.5214516104295346
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.94,0.925,0.8,0.8295454545454546,0.10171290615011296,0.6,1.0,0.0,0.4,0.17042538486934455,0.21808539575178618,0.6133339881831363
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,cost_sensitive_online_policy,1.0,0.0,66.66666666666667,50.0,1.0,0.16587692632785822,0.8341230736721418,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.22894425343983213,0.4,0.9,0.1,0.6,0.1759075451786058,0.10153841932425335,0.5214516104295346
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,target_sensitivity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.94,0.925,0.8,0.8295454545454546,0.10171290615011296,0.6,1.0,0.0,0.4,0.17042538486934455,0.21808539575178618,0.6133339881831363
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,target_specificity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.94,0.925,0.8,0.8295454545454546,0.10171290615011296,0.6,1.0,0.0,0.4,0.17042538486934455,0.21808539575178618,0.6133339881831363
participant_grouped_kfold,0,all_allowed_online,learned_meta_aggregator,inner_oof,True,False,coverage_constrained_policy,1.0,0.0,66.66666666666667,50.0,1.0,0.16587692632785822,0.8341230736721418,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.22894425343983213,0.4,0.9,0.1,0.6,0.1759075451786058,0.10153841932425335,0.5214516104295346
participant_grouped_kfold,0,all_allowed_online,logit_mean,fixed_0_5,True,False,no_stop_all_evidence,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.92,0.8528571428571428,0.8500000000000001,0.8500000000000001,0.1279455115946964,0.8,0.9,0.1,0.2,0.16266608607119917,0.07149123727185883,0.4861631713060913
participant_grouped_kfold,0,all_allowed_online,logit_mean,fixed_0_5,True,False,fixed_0_5_at_each_prefix,1.0,0.0,50.0,50.0,1.0,0.1631392733225344,0.8368607266774657,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.24642369482370935,0.4,0.9,0.1,0.6,0.26772061516685924,0.02873162486906799,0.4141325309163855
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,two_sided_confidence_policy,1.0,0.0,113.33333333333333,50.0,1.0,0.17246671563966745,0.8275332843603327,dyslexia_labeled:1.000;typical_control:1.000,0.72,0.5666666666666667,0.65,0.6590909090909092,0.23578159084762182,0.4,0.9,0.1,0.6,0.22455061996517522,0.0305259095511215,0.42156026401467384
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.92,0.8528571428571428,0.8500000000000001,0.8500000000000001,0.1279455115946964,0.8,0.9,0.1,0.2,0.16266608607119917,0.07149123727185883,0.4861631713060913
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,cost_sensitive_online_policy,1.0,0.0,113.33333333333333,50.0,1.0,0.17246671563966745,0.8275332843603327,dyslexia_labeled:1.000;typical_control:1.000,0.72,0.5666666666666667,0.65,0.6590909090909092,0.23578159084762182,0.4,0.9,0.1,0.6,0.22455061996517522,0.0305259095511215,0.42156026401467384
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,target_sensitivity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.92,0.8528571428571428,0.8500000000000001,0.8500000000000001,0.1279455115946964,0.8,0.9,0.1,0.2,0.16266608607119917,0.07149123727185883,0.4861631713060913
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,target_specificity_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.92,0.8528571428571428,0.8500000000000001,0.8500000000000001,0.1279455115946964,0.8,0.9,0.1,0.2,0.16266608607119917,0.07149123727185883,0.4861631713060913
participant_grouped_kfold,0,all_allowed_online,logit_mean,inner_oof,True,False,coverage_constrained_policy,1.0,0.0,113.33333333333333,50.0,1.0,0.17246671563966745,0.8275332843603327,dyslexia_labeled:1.000;typical_control:1.000,0.72,0.5666666666666667,0.65,0.6590909090909092,0.23578159084762182,0.4,0.9,0.1,0.6,0.22455061996517522,0.0305259095511215,0.42156026401467384
participant_grouped_kfold,0,all_allowed_online,mean_probability,fixed_0_5,True,False,no_stop_all_evidence,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12664419008049255,0.8,0.9,0.1,0.2,0.17382321316952007,0.10193565160896902,0.4511423051130965
participant_grouped_kfold,0,all_allowed_online,mean_probability,fixed_0_5,True,False,fixed_0_5_at_each_prefix,1.0,0.0,50.0,50.0,1.0,0.1631392733225344,0.8368607266774657,dyslexia_labeled:1.000;typical_control:1.000,0.7000000000000001,0.5366666666666666,0.65,0.6590909090909092,0.24642369482370935,0.4,0.9,0.1,0.6,0.26772061516685924,0.02873162486906799,0.4141325309163855
participant_grouped_kfold,0,all_allowed_online,mean_probability,inner_oof,True,False,two_sided_confidence_policy,0.9333333333333333,0.06666666666666665,50.0,50.0,1.0,0.1564089521134034,0.8435910478865967,dyslexia_labeled:1.000;typical_control:0.900,0.7333333333333334,0.5885281385281385,0.6444444444444444,0.65,0.24975120383569402,0.4,0.8888888888888888,0.1111111111111111,0.6,0.25491258244051646,0.03262400448852917,0.4549458898252448
participant_grouped_kfold,0,all_allowed_online,mean_probability,inner_oof,True,False,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,6324.0,4.133333333333334,1.0,0.0,dyslexia_labeled:1.000;typical_control:1.000,0.88,0.8211111111111111,0.8500000000000001,0.8500000000000001,0.12664419008049255,0.8,0.9,0.1,0.2,0.17382321316952007,0.10193565160896902,0.4511423051130965
participant_grouped_kfold,0,all_allowed_online,mean_probability,inner_oof,True,False,cost_sensitive_online_policy,0.9333333333333333,0.06666666666666665,50.0,50.0,1.0,0.1564089521134034,0.8435910478865967,dyslexia_labeled:1.000;typical_control:0.900,0.7333333333333334,0.5885281385281385,0.6444444444444444,0.65,0.24975120383569402,0.4,0.8888888888888888,0.1111111111111111,0.6,0.25491258244051646,0.03262400448852917,0.4549458898252448
