split_regime,fold_id,feature_group,prefix_type,prefix_value,calibrator,calibration_source,calibration_status,n_calibration_rows,n_outer_test_rows,clean_result,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,500,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.96,0.8857142857142857,0.8,0.8295454545454546,0.08541666666666667,0.6,1.0,0.0,0.4,0.08333333333333333,0.03566472300580225,0.45158043129962666
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,500,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.96,0.9266666666666665,0.8,0.8295454545454546,0.10591409598589725,0.6,1.0,0.0,0.4,0.11220535909939086,0.17644745268916234,0.651330118281695
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,all,identity,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.8,0.784688995215311,0.15628314026719464,0.8,0.8,0.2,0.2,0.20751045814175242,0.05428865450114712,0.4449150765547689
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,all,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.75,0.7619047619047619,0.12035910324841746,0.6,0.9,0.1,0.4,0.19807258450745954,0.10151161053554278,0.5200924870652872
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,all,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.81,0.7666666666666666,0.75,0.7619047619047619,0.14935752078609224,0.6,0.9,0.1,0.4,0.13968253968253969,0.027829867340584513,0.44787351414814436
participant_grouped_kfold,0,all_allowed_online,chronological_prefix,all,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.98,0.9666666666666666,0.8,0.8295454545454546,0.09360432332546699,0.6,1.0,0.0,0.4,0.09507184402229736,0.15286535542947816,0.5364242654486934
participant_grouped_kfold,0,all_allowed_online,speech_prefix,1,identity,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6499999999999999,0.6411483253588517,0.20296294843796717,0.6,0.7,0.3,0.4,0.28145555645002307,0.049883372509880994,0.3725473594038589
participant_grouped_kfold,0,all_allowed_online,speech_prefix,1,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6000000000000001,0.6031746031746031,0.15693399050544968,0.4,0.8,0.2,0.6,0.27168706335403287,0.15482376268170464,0.5011377272952118
participant_grouped_kfold,0,all_allowed_online,speech_prefix,1,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.91,0.7749999999999999,0.7,0.7204968944099379,0.11158299739648946,0.4,1.0,0.0,0.6,0.07671957671957673,0.03648359973927584,0.4481802809292339
participant_grouped_kfold,0,all_allowed_online,speech_prefix,1,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6000000000000001,0.6031746031746031,0.14984408325318993,0.4,0.8,0.2,0.6,0.22542812802741116,0.18137713688620127,0.5201172919436533
participant_grouped_kfold,0,all_allowed_online,speech_prefix,2,identity,inner_oof_or_calibration,complete,82,14,True,False,0.7999999999999999,0.6428571428571428,0.725,0.6888888888888889,0.21032338316159496,0.75,0.7,0.3,0.25,0.2560163272756474,0.03812187543993178,0.39425716288302926
participant_grouped_kfold,0,all_allowed_online,speech_prefix,2,sigmoid,inner_oof_or_calibration,complete,82,14,True,False,0.7999999999999999,0.6428571428571428,0.575,0.5757575757575758,0.14324628943735548,0.25,0.9,0.1,0.75,0.19688297426190715,0.13394874279708455,0.48882991274807663
participant_grouped_kfold,0,all_allowed_online,speech_prefix,2,isotonic,inner_oof_or_calibration,complete,82,14,True,False,0.85,0.6785714285714286,0.575,0.5757575757575758,0.1652557319223986,0.25,0.9,0.1,0.75,0.16349206349206347,0.034264307251337334,0.47250907377533435
participant_grouped_kfold,0,all_allowed_online,speech_prefix,2,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,82,14,True,False,0.7749999999999999,0.6178571428571429,0.575,0.5757575757575758,0.18826047097099866,0.25,0.9,0.1,0.75,0.21656316714494708,0.132677902815424,0.44873226261577837
participant_grouped_kfold,0,all_allowed_online,speech_prefix,3,identity,inner_oof_or_calibration,complete,62,12,True,False,0.888888888888889,0.8333333333333333,0.7777777777777777,0.7777777777777777,0.13774366153950549,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.23933712816183306,0.08410750305704441,0.3832532374484103
participant_grouped_kfold,0,all_allowed_online,speech_prefix,3,sigmoid,inner_oof_or_calibration,complete,62,12,True,False,0.888888888888889,0.8333333333333333,0.6666666666666666,0.7,0.12968924227092268,0.3333333333333333,1.0,0.0,0.6666666666666666,0.11790520877646768,0.2115869626267563,0.6724127900168918
participant_grouped_kfold,0,all_allowed_online,speech_prefix,3,isotonic,inner_oof_or_calibration,complete,62,12,True,False,0.9074074074074074,0.7916666666666666,0.8333333333333333,0.8736842105263158,0.09114583333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.06249999999999999,0.03389963397098891,0.40006800018120264
participant_grouped_kfold,0,all_allowed_online,speech_prefix,3,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,62,12,True,False,0.7407407407407407,0.7666666666666666,0.6666666666666666,0.7,0.13275991839669565,0.3333333333333333,1.0,0.0,0.6666666666666666,0.1398757037445722,0.17395490389888946,0.6186043274603331
participant_grouped_kfold,0,all_allowed_online,speech_prefix,all,identity,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.8,0.784688995215311,0.15628314026719464,0.8,0.8,0.2,0.2,0.20751045814175242,0.05428865450114712,0.4449150765547689
participant_grouped_kfold,0,all_allowed_online,speech_prefix,all,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.75,0.7619047619047619,0.12035910324841746,0.6,0.9,0.1,0.4,0.19807258450745954,0.10151161053554278,0.5200924870652872
participant_grouped_kfold,0,all_allowed_online,speech_prefix,all,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.81,0.7666666666666666,0.75,0.7619047619047619,0.14935752078609224,0.6,0.9,0.1,0.4,0.13968253968253969,0.027829867340584513,0.44787351414814436
participant_grouped_kfold,0,all_allowed_online,speech_prefix,all,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.98,0.9666666666666666,0.8,0.8295454545454546,0.09360432332546699,0.6,1.0,0.0,0.4,0.09507184402229736,0.15286535542947816,0.5364242654486934
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,1,identity,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6499999999999999,0.6411483253588517,0.20296294843796717,0.6,0.7,0.3,0.4,0.28145555645002307,0.049883372509880994,0.3725473594038589
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,1,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6000000000000001,0.6031746031746031,0.15693399050544968,0.4,0.8,0.2,0.6,0.27168706335403287,0.15482376268170464,0.5011377272952118
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,1,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.91,0.7749999999999999,0.7,0.7204968944099379,0.11158299739648946,0.4,1.0,0.0,0.6,0.07671957671957673,0.03648359973927584,0.4481802809292339
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,1,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.84,0.7592857142857143,0.6000000000000001,0.6031746031746031,0.14984408325318993,0.4,0.8,0.2,0.6,0.22542812802741116,0.18137713688620127,0.5201172919436533
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,2,identity,inner_oof_or_calibration,complete,82,14,True,False,0.7999999999999999,0.6428571428571428,0.725,0.6888888888888889,0.21032338316159496,0.75,0.7,0.3,0.25,0.2560163272756474,0.03812187543993178,0.39425716288302926
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,2,sigmoid,inner_oof_or_calibration,complete,82,14,True,False,0.7999999999999999,0.6428571428571428,0.575,0.5757575757575758,0.14324628943735548,0.25,0.9,0.1,0.75,0.19688297426190715,0.13394874279708455,0.48882991274807663
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,2,isotonic,inner_oof_or_calibration,complete,82,14,True,False,0.85,0.6785714285714286,0.575,0.5757575757575758,0.1652557319223986,0.25,0.9,0.1,0.75,0.16349206349206347,0.034264307251337334,0.47250907377533435
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,2,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,82,14,True,False,0.7749999999999999,0.6178571428571429,0.575,0.5757575757575758,0.18826047097099866,0.25,0.9,0.1,0.75,0.21656316714494708,0.132677902815424,0.44873226261577837
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,3,identity,inner_oof_or_calibration,complete,62,12,True,False,0.888888888888889,0.8333333333333333,0.7777777777777777,0.7777777777777777,0.13774366153950549,0.6666666666666666,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.23933712816183306,0.08410750305704441,0.3832532374484103
