split_regime,feature_group,accumulator,prefix_type,prefix_value,n_readers,n_probability_rows,probability_variance,improvement_over_simple_mean_AUROC,improvement_over_single_trial_d3_lite_AUROC,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,simple_mean_AUROC,d3_lite_trial_AUROC
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,100,57,57,0.059544163727097726,0.0,,0.7659279778393352,0.6245295682364223,0.6842105263157895,0.6668831168831169,0.19499328497163831,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.3157894736842105,0.15691809129545,0.17978798794218173,0.38106754142033544,0.7659279778393352,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,1000,57,57,0.08502590894864065,0.0,,0.868421052631579,0.7930017718348124,0.7894736842105263,0.7738095238095238,0.1515180859645821,0.7894736842105263,0.7894736842105263,0.21052631578947367,0.21052631578947367,0.10953222320725998,0.18785454685928799,0.40397590235307523,0.868421052631579,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,250,57,57,0.07470992918557345,0.0,,0.8337950138504155,0.7487532097624865,0.7236842105263158,0.71433344470431,0.17546281377340447,0.6842105263157895,0.7631578947368421,0.23684210526315788,0.3157894736842105,0.1534771460620202,0.1902585269649094,0.3844973942989354,0.8337950138504155,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,50,57,57,0.03538042635330324,0.0,,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.20698600168134404,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.15942259827967284,0.20144027981658494,0.3836969966467634,0.7188365650969529,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,500,57,57,0.08294254047328142,0.0,,0.8573407202216066,0.7806313590949814,0.763157894736842,0.740909090909091,0.16079966219172676,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.10336539504947706,0.18949428829441828,0.39637828737976477,0.8573407202216066,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,chronological_prefix,all,57,57,0.0912335820440499,0.0,,0.8864265927977839,0.8282667691504859,0.7763157894736843,0.7572879135276778,0.13445211818593117,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.12584448382489977,0.18623458295390558,0.41368407442526944,0.8864265927977839,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,speech_prefix,1,57,57,0.08881975249678664,0.0027700831024930483,,0.8670360110803323,0.7948964651186237,0.763157894736842,0.7524223187437353,0.14795539025234236,0.7368421052631579,0.7894736842105263,0.21052631578947367,0.2631578947368421,0.11495925477908125,0.18124889812562267,0.4083918290902376,0.8642659279778393,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,speech_prefix,2,55,55,0.09078099799600045,0.0,,0.8618618618618619,0.7829427103581694,0.7672672672672673,0.7472605160834218,0.14739832946198192,0.7777777777777778,0.7567567567567568,0.24324324324324326,0.2222222222222222,0.14023439377733904,0.17317243254237616,0.40052061473191847,0.8618618618618619,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,speech_prefix,3,43,43,0.06945210307642063,0.00303030303030305,,0.796969696969697,0.5636181139122315,0.7136363636363636,0.6692307692307693,0.16900126690513567,0.7,0.7272727272727273,0.2727272727272727,0.3,0.17664325653200014,0.13027000079553178,0.3319961450950587,0.793939393939394,
participant_grouped_kfold,all_allowed_online,beta_binomial_posterior,speech_prefix,all,57,57,0.09603720199218964,0.0,,0.9002770083102493,0.8561369366972083,0.8289473684210527,0.8115079365079365,0.12711113926892645,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.11153958352142881,0.18352080119109626,0.41373359055013287,0.9002770083102493,
