model_row,evaluation_regime,online_or_offline,evidence_available,evidence_cost,threshold_source,calibration_source,accumulator,stopping_policy,AUROC,PR-AUC,BA,macro_F1,Brier,coverage,mean_words_to_decision,mean_texts_to_decision,official_claim_allowed,benchmark_relative_claim_allowed,notes
D3_EyeBench_Lite_reader_aggregated,unseen_reader_and_text,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.7153850766030332,0.5650434681183418,0.6341592735430082,0.6223107810192153,0.2190659694861895,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_trial_level,unseen_text,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8037456452920501,0.4882081362343988,0.7190751996721602,0.6766554873697731,0.1851942330719136,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_reader_aggregated,unseen_text,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8037456452920501,0.4882081362343988,0.7190751996721602,0.6766554873697731,0.1851942330719136,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_trial_level,unseen_text,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8318508349893763,0.5434086642356434,0.7340753226678249,0.6750506235501115,0.1871265798854375,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_EyeBench_Lite_reader_aggregated,unseen_text,online,previous_artifact,,fixed_0_5,identity,previous_probability,none,0.8318508349893763,0.5434086642356434,0.7340753226678249,0.6750506235501115,0.1871265798854375,1.0,,,False,True,Imported from OperatingPointAdaptation v1 for comparison; frozen artifact not modified.
D3_OnlineLocked_Selected,participant_grouped_kfold,online,all_allowed_online|learned_meta_aggregator|no_stop,,inner_cv_global,sigmoid,learned_meta_aggregator,no_stop,0.8961218836565097,0.8296139379241874,0.868421052631579,0.8635897435897435,0.10928650045378141,1.0,,,False,False,
D3_OnlineLocked_Selected,text_balanced_unseen_reader,online,all_allowed_online|learned_meta_aggregator|no_stop,,inner_cv_global,sigmoid,learned_meta_aggregator,no_stop,0.8961218836565097,0.8296139379241874,0.868421052631579,0.8635897435897435,0.10928650045378141,1.0,,,False,False,
D3_OnlineLocked_Selected,unseen_reader,online,all_allowed_online|learned_meta_aggregator|no_stop,,inner_cv_global,sigmoid,learned_meta_aggregator,no_stop,0.8961218836565097,0.8296139379241874,0.868421052631579,0.8635897435897435,0.10928650045378141,1.0,,,False,False,
D3_OnlineLocked_Selected,unseen_reader_and_text,online,all_allowed_online|learned_meta_aggregator|no_stop,,inner_cv_global,sigmoid,learned_meta_aggregator,no_stop,0.8611111111111112,0.8671130952380952,0.8263888888888888,0.8235294117647058,0.15056864988791552,1.0,,,False,False,
D3_OnlineLocked_Selected,unseen_text,online,all_allowed_online|learned_meta_aggregator|no_stop,,inner_cv_global,sigmoid,learned_meta_aggregator,no_stop,0.7077562326869805,0.47238537996474234,0.6842105263157894,0.6297556449118465,0.22917768028401453,1.0,,,False,False,
