oracle_variant,group_key,bits,candidate_count,official_claim_allowed
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|logit_mean,8.199672344836364,294,False
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|mean_probability,8.199672344836364,294,False
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|reliability_weighted_probability,8.189824558880018,292,False
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|uncertainty_weighted_logit,8.134426320220927,281,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|beta_binomial_posterior,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|entropy_weighted,8.224001674198105,299,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|learned_meta_aggregator,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|logit_mean,8.224001674198105,299,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|mean_probability,8.224001674198105,299,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|reliability_weighted_probability,8.224001674198105,299,False
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|uncertainty_weighted_logit,8.087462841250339,272,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|beta_binomial_posterior,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|entropy_weighted,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|learned_meta_aggregator,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|logit_mean,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|mean_probability,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|reliability_weighted_probability,8.238404739325079,302,False
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|uncertainty_weighted_logit,8.189824558880018,292,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|beta_binomial_posterior|chronological_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|beta_binomial_posterior|speech_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|beta_binomial_posterior|trial_or_text_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|beta_binomial_posterior|word_count_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|entropy_weighted|chronological_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|entropy_weighted|speech_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|entropy_weighted|trial_or_text_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|entropy_weighted|word_count_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|learned_meta_aggregator|chronological_prefix,8.238404739325079,302,False
test_oracle_threshold_by_prefix_type,participant_grouped_kfold|all_allowed_online|learned_meta_aggregator|speech_prefix,8.238404739325079,302,False
