analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR-AUC,BA,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes,calibrator,calibration_status
legal_calibrated_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,242,55,187,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.7454545454545455,0.7433155080213903,0.16759264942083232,0.5473571782799966,0.690965279906972,-1.1637554856539192,0.17539168273355288,complete,identity calibrator; no fitted calibration used.,identity,complete
legal_calibrated_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,242,55,187,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,sigmoid_platt,not_computed_missing_calibration_predictions
legal_calibrated_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,242,55,187,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,isotonic,not_computed_missing_calibration_predictions
legal_calibrated_probability,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,242,55,187,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,temperature_logistic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,3554,767,2787,0.796404333960664,0.49266168073861305,0.7158814742876336,0.6749207106710016,0.6714471968709257,0.7603157517043416,0.19064079895667227,0.6207758559694571,0.5273593980341867,-1.3471230589673289,0.20743961267023378,complete,identity calibrator; no fitted calibration used.,identity,complete
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,sigmoid_platt,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,isotonic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,temperature_logistic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,1228,408,820,0.7149420133907222,0.560540148988024,0.6477821616451458,0.6398116772983653,0.5906862745098039,0.7048780487804878,0.21578473754375457,0.663292513175024,0.5194456542178406,-0.6725320101157652,0.12929984203359324,complete,identity calibrator; no fitted calibration used.,identity,complete
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,1228,408,820,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,sigmoid_platt,not_computed_missing_calibration_predictions
