source_name,candidate_id,model_name,feature_group,model,evaluation_level,split_regime,threshold,BA,macro_F1,false_positive,false_negative,true_positive,true_negative,near_threshold_errors,confidently_wrong_errors
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.17,0.736842105263158,0.6817617866004964,16,2,17,22,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.18,0.736842105263158,0.6817617866004964,16,2,17,22,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.19,0.736842105263158,0.6817617866004964,16,2,17,22,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.2,0.736842105263158,0.6817617866004964,16,2,17,22,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.21,0.736842105263158,0.6817617866004964,16,2,17,22,4,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.22,0.763157894736842,0.7150000000000001,14,2,17,24,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.23,0.763157894736842,0.7150000000000001,14,2,17,24,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.24,0.7763157894736843,0.7315541601255887,13,2,17,25,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.25,0.7763157894736843,0.7315541601255887,13,2,17,25,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.26,0.7894736842105263,0.7481060606060606,12,2,17,26,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.27,0.7894736842105263,0.7481060606060606,12,2,17,26,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.28,0.7894736842105263,0.7481060606060606,12,2,17,26,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.29,0.8157894736842105,0.7813299232736572,10,2,17,28,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.3,0.8157894736842105,0.7813299232736572,10,2,17,28,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.31,0.8157894736842105,0.7813299232736572,10,2,17,28,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.32,0.8157894736842105,0.7813299232736572,10,2,17,28,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.33,0.8157894736842105,0.7813299232736572,10,2,17,28,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.34,0.8289473684210527,0.7980676328502415,9,2,17,29,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.35000000000000003,0.8421052631578947,0.8149350649350648,8,2,17,30,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.36,0.8552631578947368,0.8319685555191614,7,2,17,31,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.37,0.8552631578947368,0.8319685555191614,7,2,17,31,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.38,0.8552631578947368,0.8319685555191614,7,2,17,31,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.39,0.8552631578947368,0.8319685555191614,7,2,17,31,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.4,0.868421052631579,0.8492063492063492,6,2,17,32,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.41000000000000003,0.8421052631578947,0.828600066822586,6,3,16,32,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.42,0.8421052631578947,0.828600066822586,6,3,16,32,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.43,0.8421052631578947,0.828600066822586,6,3,16,32,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.44,0.8421052631578947,0.828600066822586,6,3,16,32,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.45,0.8421052631578947,0.828600066822586,6,3,16,32,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.46,0.8552631578947368,0.845945945945946,5,3,16,33,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.47000000000000003,0.868421052631579,0.8635897435897435,4,3,16,34,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.48,0.868421052631579,0.8635897435897435,4,3,16,34,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.49,0.8421052631578947,0.8421052631578947,4,4,15,34,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.5,0.8421052631578947,0.8421052631578947,4,4,15,34,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.51,0.8421052631578947,0.8421052631578947,4,4,15,34,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.52,0.8421052631578947,0.8421052631578947,4,4,15,34,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.53,0.8157894736842105,0.81993681993682,4,5,14,34,3,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.54,0.8157894736842105,0.81993681993682,4,5,14,34,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.55,0.8157894736842105,0.81993681993682,4,5,14,34,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.56,0.8157894736842105,0.81993681993682,4,5,14,34,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.5700000000000001,0.8157894736842105,0.81993681993682,4,5,14,34,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.58,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.59,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.6,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.61,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.62,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.63,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.64,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.65,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.66,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.67,0.8289473684210527,0.8376068376068376,3,5,14,35,0,3
