analysis_row,source_name,candidate_id,feature_group,model,evaluation_level,split_regime,threshold_source,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,calibration_slope,calibration_intercept,threshold,n_candidate_thresholds,information_bits,notes
fixed_0_5,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,fixed_0_5,True,0.6829267379886782,0.41629234208814175,0.6339776453257324,0.6075277884862503,0.2172196044167465,0.8346405481164287,-1.2801645319649284,0.5,,,
fixed_0_5_fold_mean,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,fixed_0_5,True,0.6913151136854848,0.42686138749288305,0.640374741853975,0.6039549929913519,0.21849412635939636,0.9103921482656394,-1.3218336806764284,0.5,,,Mean of per-fold fixed-threshold metrics.
fixed_0_5,phase4_d3_reader_profile,phase4_d3_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,fixed_0_5,True,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.11594163409415904,0.8693048353453224,-0.5321293920730354,0.5,,,
legal_calibrated_probability,autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,fixed_0_5,True,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.11594163409415904,0.8693048353453224,-0.5321293920730354,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,fixed_0_5,True,0.7955274671852212,0.5190186808837781,0.7379679144385027,0.6910468659912692,0.17736125817541226,0.5648873635960451,-1.1436164056109939,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
