split_regime,prefix_type,prefix_value,feature_family,source_feature_group,calibrator,threshold,accumulator,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
participant_grouped_kfold,chronological_prefix,100,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.7659279778393352,0.6245295682364223,0.6842105263157895,0.6668831168831169,0.19499328497163831,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.3157894736842105,0.15691809129545,0.1797879879421818,0.3810675414203356
participant_grouped_kfold,chronological_prefix,1000,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.868421052631579,0.7930017718348124,0.7894736842105263,0.7738095238095238,0.1515180859645821,0.7894736842105263,0.7894736842105263,0.21052631578947367,0.21052631578947367,0.10953222320725994,0.18785454685928793,0.40397590235307523
participant_grouped_kfold,chronological_prefix,250,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.8337950138504155,0.7487532097624865,0.7236842105263158,0.71433344470431,0.17546281377340447,0.6842105263157895,0.7631578947368421,0.23684210526315788,0.3157894736842105,0.1534771460620202,0.19025852696490944,0.3844973942989355
participant_grouped_kfold,chronological_prefix,50,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.20698600168134404,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.1594225982796728,0.201440279816585,0.3836969966467633
participant_grouped_kfold,chronological_prefix,500,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.8573407202216066,0.7806313590949814,0.763157894736842,0.740909090909091,0.16079966219172676,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.10336539504947706,0.18949428829441822,0.39637828737976477
participant_grouped_kfold,chronological_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.8864265927977839,0.8282667691504859,0.7763157894736843,0.7572879135276778,0.13445211818593117,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.12584448382489974,0.18623458295390558,0.41368407442526944
participant_grouped_kfold,speech_prefix,1,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.8670360110803323,0.7948964651186237,0.763157894736842,0.7524223187437353,0.14795539025234233,0.7368421052631579,0.7894736842105263,0.21052631578947367,0.2631578947368421,0.11495925477908125,0.1812488981256226,0.4083918290902375
participant_grouped_kfold,speech_prefix,2,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,55,55,0.0,0.8618618618618619,0.7829427103581694,0.7672672672672673,0.7472605160834218,0.14739832946198192,0.7777777777777778,0.7567567567567568,0.24324324324324326,0.2222222222222222,0.140234393777339,0.17317243254237613,0.4005206147319184
participant_grouped_kfold,speech_prefix,3,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,43,43,0.0,0.796969696969697,0.5636181139122315,0.7136363636363636,0.6692307692307693,0.16900126690513567,0.7,0.7272727272727273,0.2727272727272727,0.3,0.1766432565320001,0.13027000079553167,0.3319961450950587
participant_grouped_kfold,speech_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.9002770083102493,0.8561369366972083,0.8289473684210527,0.8115079365079365,0.12711113926892645,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.1115395835214288,0.18352080119109626,0.41373359055013287
participant_grouped_kfold,trial_or_text_prefix,1,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.8642659279778393,0.7938894954203886,0.75,0.7361111111111112,0.15015260353114582,0.7368421052631579,0.7631578947368421,0.23684210526315788,0.2631578947368421,0.1339165054421561,0.1847317494813093,0.40760122491026796
