split_regime,n_readers,n_prefix_rows,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,evidence_cost,earliness_score,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,candidate_id,candidate_group,feature_family,source_feature_group,calibrator,threshold_policy,accumulator,stopping_policy,prefix_type,prefix_value,threshold,calibration_source,clean_result,official_claim_allowed,selection_source,rescue_candidate
unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.7042016806722688,0.5017998680285947,0.7134453781512605,0.6344802071772104,0.21243287246521061,0.9411764705882353,0.4857142857142857,0.5142857142857142,0.058823529411764705,0.11247454185263675,0.1331491009097446,0.39298184706311606,unseen_text_rescue_00,unseen_text_specialist,all_allowed_strict_online,all_allowed_online,sigmoid,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,1000,0.2321938851332837,sigmoid,True,False,inner_oof,text_shift_calibrated
unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.7596638655462185,0.6041055939059491,0.6529411764705882,0.6233320625238277,0.19289614776774558,0.7058823529411765,0.6,0.4,0.29411764705882354,0.11765418487588605,0.16520212308410656,0.4071028391588487,unseen_text_rescue_03,unseen_text_specialist,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,sigmoid,inner_cv_regime_specific,logit_mean,fixed_budget,word_count_prefix,1000,0.41491154304892797,sigmoid,True,False,inner_oof,text_difficulty_residualized
unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.8638655462184874,0.8361078652088079,0.7546218487394958,0.7204301075268817,0.23307472658452716,0.8235294117647058,0.6857142857142857,0.3142857142857143,0.17647058823529413,0.2849766791080774,0.07334708561155268,0.26696204601408347,unseen_text_rescue_04,unseen_text_specialist,all_allowed_strict_online,all_allowed_online,identity,inner_cv_regime_specific,entropy_weighted,fixed_budget,word_count_prefix,1000,0.6233667405483606,identity,True,False,inner_oof,regime_specific_threshold
unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.8554621848739495,0.7928088150543078,0.8260504201680672,0.8112141992739008,0.14881185920214962,0.8235294117647058,0.8285714285714286,0.17142857142857143,0.17647058823529413,0.11041855223329881,0.23888177838809954,0.4578366059587974,unseen_text_rescue_05,unseen_text_specialist,all_allowed_strict_online,all_allowed_online,sigmoid,inner_cv_regime_specific,mean_probability,fixed_budget,word_count_prefix,1000,0.4554109362018923,sigmoid,True,False,inner_oof,regime_specific_calibrator
