evidence_id,analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR_AUC,balanced_accuracy,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes,improvement_over_fixed_0_5_BA,improvement_over_best_legal_BA,source_phase,source_file,result_origin,result_scope,oracle_variant,group_key,clean_result,benchmark_relative_claim_allowed,FPR,FNR
oracle_00010,test_oracle_threshold_diagnostic,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,split_regime_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.5451975438748601,245,7.936637939002571,242.0,55.0,187.0,0.8284880894506563,0.5547798448721939,0.7711229946524064,0.731684434968017,0.7454545454545455,0.7967914438502673,0.1675926494208323,0.5473571782799966,0.690965279906972,-1.1637554856539192,0.1753916827335528,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0063151416866585,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00011,test_oracle_threshold_diagnostic,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,all,fold_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.5641014953972743,338,103.34290912561067,242.0,55.0,187.0,0.8284880894506563,0.5547798448721939,0.8614973262032085,0.8168371429189283,0.8727272727272727,0.8502673796791443,0.1675926494208324,0.5473571782799966,0.6909652799069721,-1.1637554856539192,0.1753916827335529,complete,Diagnostic upper bound with one test-label threshold per outer fold.,0.0966894732374606,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00012,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,global_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.3996761331215119,8308,13.020285500844649,3554.0,767.0,2787.0,0.796404333960664,0.492661680738613,0.7306578924593556,0.6485955736531412,0.8018252933507171,0.6594904915679942,0.1906407989566722,0.6207758559694571,0.5273593980341867,-1.3471230589673289,0.2074396126702337,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0032536640350651,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00013,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,split_regime_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4341329154005188,3547,11.792383614935188,3554.0,767.0,2787.0,0.796404333960664,0.492661680738613,0.731032840591141,0.6648679392681647,0.758800521512386,0.703265159669896,0.1906407989566722,0.6207758559694571,0.5273593980341867,-1.3471230589673289,0.2074396126702337,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0036286121668505,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00014,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,all,fold_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4574382649867075,3556,39.171279095995416,3554.0,767.0,2787.0,0.796404333960664,0.492661680738613,0.7463495770313745,0.6719034853780717,0.7966101694915254,0.6960889845712236,0.1906407989566722,0.6207758559694571,0.5273593980341867,-1.3471230589673289,0.2074396126702337,complete,Diagnostic upper bound with one test-label threshold per outer fold.,0.0189453486070839,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00015,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,global_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.3996761331215119,8308,13.020285500844649,1228.0,408.0,820.0,0.7149420133907222,0.560540148988024,0.6480631276901004,0.6189574078912987,0.7058823529411765,0.5902439024390244,0.2157847375437545,0.663292513175024,0.5194456542178406,-0.6725320101157652,0.1292998420335932,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0139038541470922,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00016,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,split_regime_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4605835145869071,1229,10.263269200372662,1228.0,408.0,820.0,0.7149420133907222,0.560540148988024,0.6570540411286466,0.6422371097037971,0.6421568627450981,0.6719512195121952,0.2157847375437545,0.663292513175024,0.5194456542178406,-0.6725320101157652,0.1292998420335932,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0228947675856384,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00017,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fold_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4943589307866238,1238,32.976007952529464,1228.0,408.0,820.0,0.7149420133907222,0.560540148988024,0.7224832615973218,0.706044803784843,0.7181372549019608,0.7268292682926829,0.2157847375437545,0.663292513175024,0.5194456542178406,-0.6725320101157652,0.1292998420335932,complete,Diagnostic upper bound with one test-label threshold per outer fold.,0.0883239880543136,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00018,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,global_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.3996761331215119,8308,13.020285500844649,3554.0,767.0,2787.0,0.8037456452920501,0.4882081362343988,0.7328710922241418,0.6467289727957837,0.8148631029986962,0.6508790814495874,0.1851942330719136,0.6056069016980021,0.5487686943891612,-1.3141990545612252,0.2031617465382221,complete,Diagnostic upper bound; outer test labels used for threshold selection.,-0.0012042304436831,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00019,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,split_regime_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.3886927060066286,3541,11.789941128390916,3554.0,767.0,2787.0,0.8037456452920501,0.4882081362343988,0.7350487385790518,0.6418091457924526,0.8357235984354628,0.6343738787226408,0.1851942330719136,0.6056069016980021,0.5487686943891612,-1.3141990545612252,0.2031617465382221,complete,Diagnostic upper bound; outer test labels used for threshold selection.,0.0009734159112269,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00020,test_oracle_threshold_diagnostic,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,fold_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4623219400628453,3550,39.157737752566725,3554.0,767.0,2787.0,0.8037456452920501,0.4882081362343988,0.7775212630442421,0.6858140322069541,0.8722294654498044,0.6828130606386796,0.1851942330719136,0.6056069016980021,0.5487686943891612,-1.3141990545612252,0.2031617465382221,complete,Diagnostic upper bound with one test-label threshold per outer fold.,0.0434459403764171,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00021,test_oracle_threshold_diagnostic,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,global_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.4666049237464981,8193,13.000176099486442,3554.0,767.0,2787.0,0.6717077659406754,0.409135869657341,0.6306983110726885,0.5781140138613681,0.6245110821382008,0.6368855400071761,0.2199160771335113,0.637824705334294,0.7693790571458392,-1.2774335948138913,0.2493727876809813,complete,Diagnostic upper bound; outer test labels used for threshold selection.,-0.009586749799624,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
oracle_00022,test_oracle_threshold_diagnostic,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,split_regime_test_oracle_threshold,test_oracle_diagnostic,False,p_pred,0.48927035301858,3502,11.773963368433558,3554.0,767.0,2787.0,0.6717077659406754,0.409135869657341,0.6367840256658195,0.6001146399456522,0.5749674054758801,0.6986006458557589,0.2199160771335113,0.637824705334294,0.7693790571458392,-1.2774335948138913,0.2493727876809813,complete,Diagnostic upper bound; outer test labels used for threshold selection.,-0.003501035206493,,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,oracle_diagnostic,diagnostic_completed_result,,,,,,
