reconciliation_id,metric_name,model_name,candidate_id,split_regime,evaluation_level,source_phase,source_file,source_value,source_context,same_metric_as_others,conflict_group_id,exact_match_group_id,notes
recon_00016,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,0.7443850267379679,Copied from v1 canonical row BenchmarkBridge_v1_unseen_text_00008,True,,BenchmarkBridge_v1_unseen_text_00008_balanced_accuracy,BenchmarkBridge internal EyeBench-style split.
recon_00017,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,0.8541666666666666,Copied from v1 canonical row BenchmarkBridge_v1_unseen_reader_and_text_00009,True,,BenchmarkBridge_v1_unseen_reader_and_text_00009_AUROC,BenchmarkBridge internal EyeBench-style split.
recon_00018,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,0.7458333333333333,Copied from v1 canonical row BenchmarkBridge_v1_unseen_reader_and_text_00009,True,,BenchmarkBridge_v1_unseen_reader_and_text_00009_balanced_accuracy,BenchmarkBridge internal EyeBench-style split.
recon_00019,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8961218836565096,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00020,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8737669012394285,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00021,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8157894736842105,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00022,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8074324324324325,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00023,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1325857880206321,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00024,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8284880894506563,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00025,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.5547798448721939,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
