prefix_type,prefix_value,evidence_budget,split_regime,model_name,feature_family,calibrator,threshold_policy,accumulator,AUROC,PR_AUC,balanced_accuracy,Brier,macro_F1,n_readers,n_prefix_rows,notes
word_count_prefix,50,word_count_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,beta_binomial_posterior,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2126903482833066,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,500,word_count_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,beta_binomial_posterior,0.8490304709141274,0.7710919374583913,0.7368421052631579,0.1671297471772065,0.7199475925319359,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,all,word_count_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,beta_binomial_posterior,0.8808864265927977,0.81892359589728,0.75,0.1384572821455654,0.7361111111111112,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,100,chronological_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.7811634349030471,0.6413111144734902,0.6842105263157895,0.237719575477846,0.6668831168831169,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,1000,chronological_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8836565096952909,0.8183486949353822,0.7763157894736843,0.1714183977482809,0.7572879135276778,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,250,chronological_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8310249307479224,0.7690363315018673,0.7368421052631579,0.218746261757484,0.7199475925319359,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,50,chronological_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2416748789009918,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,500,chronological_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8670360110803323,0.8114259300211313,0.763157894736842,0.1966240616803255,0.740909090909091,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,all,chronological_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.9030470914127424,0.8638652446055717,0.75,0.1502387362070915,0.7361111111111112,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,1,speech_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8698060941828255,0.8220955842002351,0.7894736842105263,0.1722680484312165,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,2,speech_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8768768768768769,0.8225392303170083,0.725975975975976,0.1715477158893822,0.7083775185577943,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,3,speech_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8090909090909091,0.6174257759784075,0.7136363636363636,0.2010649836732753,0.6692307692307693,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,all,speech_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.907202216066482,0.8688271013755777,0.8157894736842105,0.1397698038722986,0.7946282345234196,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,1,trial_or_text_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8698060941828254,0.8182723038702999,0.7894736842105263,0.173655136143792,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,2,trial_or_text_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8768768768768769,0.8231129281402816,0.7394894894894894,0.1710881798193944,0.7250000000000001,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,3,trial_or_text_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.796969696969697,0.5927620204844812,0.6984848484848485,0.2039835805034714,0.6490897677338355,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,all,trial_or_text_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.9058171745152356,0.8666119042919598,0.7894736842105263,0.1440110089724464,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,100,word_count_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.763157894736842,0.6127462433467391,0.6973684210526316,0.2346082695651863,0.6826072715361939,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,1000,word_count_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8808864265927978,0.8170004128927921,0.763157894736842,0.1800540929478413,0.740909090909091,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,250,word_count_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8102493074792244,0.73685847600957,0.7236842105263157,0.2236847742590859,0.7038961038961039,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,50,word_count_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2416748789009918,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,500,word_count_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.8531855955678671,0.7961499055532046,0.75,0.2019547939145951,0.7246376811594203,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,all,word_count_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,entropy_weighted,0.894736842105263,0.8562259315230452,0.75,0.1580070200695588,0.7361111111111112,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,100,chronological_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7049861495844875,0.5305767913036297,0.7105263157894737,0.1887665007548396,0.7158119658119658,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,1000,chronological_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8227146814404432,0.6368876030043327,0.6973684210526316,0.1588334997058348,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,250,chronological_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8130193905817175,0.6585187021542169,0.7236842105263157,0.1681171838432111,0.7236842105263157,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,50,chronological_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.6814404432132963,0.4805616930730992,0.6052631578947368,0.2307127898761259,0.6089939024390244,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,500,chronological_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8227146814404432,0.6412206320203282,0.763157894736842,0.1509046821194563,0.7732368896925859,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
