source_phase,split_regime,feature_group,feature_family,accumulator,threshold_source,stopping_policy,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,balanced_accuracy,AUROC,PR_AUC,Brier,final_decision
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.7000000000000001,0.5366666666666666,0.2464236948237093,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,two_sided_confidence_policy,1.0,0.0,113.33333333333331,1.0,0.65,0.72,0.5666666666666667,0.2357815908476218,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.92,0.8528571428571428,0.1279455115946964,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,cost_sensitive_online_policy,1.0,0.0,113.33333333333331,1.0,0.65,0.72,0.5666666666666667,0.2357815908476218,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.92,0.8528571428571428,0.1279455115946964,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.92,0.8528571428571428,0.1279455115946964,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,logit_mean,inner_oof,coverage_constrained_policy,1.0,0.0,113.33333333333331,1.0,0.65,0.72,0.5666666666666667,0.2357815908476218,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1266441900804925,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.7000000000000001,0.5366666666666666,0.2464236948237093,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,two_sided_confidence_policy,0.9333333333333332,0.0666666666666666,50.0,1.0,0.6444444444444444,0.7333333333333334,0.5885281385281385,0.249751203835694,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1266441900804925,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,cost_sensitive_online_policy,0.9333333333333332,0.0666666666666666,50.0,1.0,0.6444444444444444,0.7333333333333334,0.5885281385281385,0.249751203835694,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1266441900804925,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1266441900804925,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,mean_probability,inner_oof,coverage_constrained_policy,0.9333333333333332,0.0666666666666666,50.0,1.0,0.6444444444444444,0.7333333333333334,0.5885281385281385,0.249751203835694,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1259619312274495,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.7000000000000001,0.5366666666666666,0.2464236948237093,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,two_sided_confidence_policy,1.0,0.0,273.0,1.0666666666666669,0.65,0.7000000000000001,0.5366666666666666,0.2371015084983879,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1259619312274495,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,cost_sensitive_online_policy,1.0,0.0,273.0,1.0666666666666669,0.65,0.7000000000000001,0.5366666666666666,0.2371015084983879,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1259619312274495,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8500000000000001,0.88,0.8211111111111111,0.1259619312274495,useful
