candidate_id,residual_alpha,predictor_set,outcome_set,aggregation_set,transform,classifier,classifier_params,seed,selection_metric,selection_score,complete_folds,evaluated_folds,mean_threshold,status,skip_reason,unseen_reader_inner_balanced_accuracy,unseen_text_inner_balanced_accuracy,unseen_reader_and_text_inner_balanced_accuracy
d3opt_0019_db64537535,1.0,surface,duration_plus_count,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7552196581559202,12,12,0.4791666666666667,complete,,0.746638850317992,0.7741811786140653,0.744838945535703
d3opt_0020_4cedcabbba,100.0,surface_surprisal,duration_core,robust_full,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7532742048369432,12,12,0.29250000000000004,complete,,0.7466887923445135,0.7828273403446269,0.7303064818216893
d3opt_0021_31a9b65c57,1.0,surface_surprisal_syntax,all_gaze,robust_full,log1p_duration,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7653120254599473,12,12,0.30416666666666664,complete,,0.74774333383354,0.8083661791466236,0.7398265633996781
d3opt_0022_deefc5fa58,1.0,surface_surprisal,duration_plus_count,central_spread,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7542305108661939,12,12,0.335,complete,,0.7436914298512335,0.7930029143364978,0.7259971884108499
d3opt_0023_00a1bd2fb4,10.0,surface_surprisal,all_gaze,robust_full,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7630304227841097,12,12,0.33416666666666667,complete,,0.7410529855639335,0.8129689942770719,0.7350692885113237
d3opt_0024_2d9a9f9c46,1.0,surface_surprisal_syntax,duration_plus_count,central_spread,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7703242921042901,12,12,0.5333333333333333,complete,,0.8255320860759345,0.7485298479518261,0.7369109422851097
d3opt_0025_469a50d0c3,1.0,surface_surprisal,all_gaze,central_spread,raw,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7622165609212194,12,12,0.5383333333333333,complete,,0.8178856938508342,0.7523711495715392,0.7163928393412847
d3opt_0026_c9db41188b,100.0,surface,all_gaze,robust_full,raw,gradient_boosting,"{'n_estimators': 180, 'learning_rate': 0.05, 'max_depth': 2}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7618126280774957,12,12,0.31500000000000006,complete,,0.7569157904799863,0.798647803916011,0.7298742898364899
d3opt_0027_6cc400601a,1.0,surface,duration_plus_count,central_spread,log1p_duration,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7528861786478211,12,12,0.30416666666666675,complete,,0.7346412986578456,0.7934883132909871,0.7305289239946307
d3opt_0028_d6eb5fcefc,0.1,surface_surprisal,all_gaze,robust_full,raw,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7599682698292817,12,12,0.5041666666666667,complete,,0.7629791752273959,0.7788284271998835,0.7380972070605658
d3opt_0029_7543248d5b,1.0,surface_surprisal_syntax,duration_plus_count,central_spread,log1p_duration,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7662677315267635,12,12,0.5283333333333332,complete,,0.8082076782854468,0.7481278899676962,0.7424676263271474
d3opt_0030_e8bea8ca86,100.0,surface_surprisal_syntax,duration_plus_count,robust_full,raw,gradient_boosting,"{'n_estimators': 180, 'learning_rate': 0.05, 'max_depth': 2}",20260522,inner_validation_fold_mean_balanced_accuracy,0.756722886454301,12,12,0.2583333333333334,complete,,0.7669912804938929,0.7752724365001413,0.7279049423688684
d3opt_0031_b7fdcc6b8a,1.0,surface_surprisal,all_gaze,central_spread,raw,extra_trees,"{'n_estimators': 800, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7536247192889696,12,12,0.3666666666666667,complete,,0.7344183110422916,0.8021067303051018,0.7243491165195154
d3opt_0032_88981a3799,0.1,surface,duration_plus_count,robust_full,log1p_duration,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7540406509878297,12,12,0.4416666666666667,complete,,0.7525606490185242,0.7674509901912934,0.7421103137536714
d3opt_0033_cf4caf03e7,0.1,surface_surprisal,all_gaze,robust_full,raw,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7628584835699082,12,12,0.5133333333333333,complete,,0.788873299294333,0.7723989585441509,0.7273031928712403
d3opt_0034_425f2da47d,10.0,surface,duration_plus_count,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7546584096136134,12,12,0.4658333333333333,complete,,0.7460850146651131,0.7741811786140653,0.7437090355616618
d3opt_0035_92d5ab1bac,10.0,surface,duration_core,central_spread,raw,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7461164852565362,12,12,0.5025000000000001,complete,,0.7864228735887033,0.7412544574644128,0.7106721247164925
d3opt_0036_1d46253469,0.1,surface_surprisal,all_gaze,robust_full,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.770160026699017,12,12,0.525,complete,,0.8034913021683409,0.7731232123056488,0.7338655656230614
d3opt_0037_184391d30e,0.1,surface,duration_plus_count,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7552196581559202,12,12,0.4791666666666667,complete,,0.746638850317992,0.7741811786140653,0.744838945535703
d3opt_0038_ed918b23b4,100.0,surface,duration_plus_count,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7557295154563359,12,12,0.45416666666666666,complete,,0.7462593564733018,0.7741467569952034,0.7467824329005026
d3opt_0039_97b00482d8,0.1,surface_surprisal_syntax,all_gaze,robust_full,log1p_duration,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7620234721999516,12,12,0.455,complete,,0.75683651340668,0.7797815519938684,0.7494523511993061
d3opt_0040_b8b1235c58,100.0,surface,all_gaze,robust_full,raw,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7590277232754098,12,12,0.5041666666666667,complete,,0.7841808071479879,0.7724094416544545,0.7204929210237868
