feature_group,n_features,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,n_predictions,skipped_folds
D1_dfm_exposure_only,3,0.4238227146814405,0.3685105248065372,0.4473684210526315,0.4388694823753573,0.2683586211318551,57,0
D2_dfm_sensitivity_only,16,0.8891966759002771,0.8611317013776967,0.8421052631578947,0.8421052631578947,0.112953158698714,57,0
D3_dfm_residual_gaze_only,12,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.115941634094159,57,0
D4_dfm_exposure_plus_sensitivity,19,0.8725761772853186,0.8560544368463932,0.8157894736842105,0.8074324324324325,0.1205825942582433,57,0
