metric,feature_group,model,split_name,observed,n_bootstrap,ci_low,ci_high
roc_auc,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.8947368421052632,2000,0.7764701991907874,0.9841269841269842
pr_auc,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.8640879080588109,2000,0.7082993176943476,0.9728130549112142
