iteration,feature_group,model,split_name,roc_auc,status
67,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4806094182825485,complete
68,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4445983379501385,complete
69,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5180055401662049,complete
70,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4390581717451524,complete
71,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6204986149584487,complete
72,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5263157894736842,complete
73,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3434903047091412,complete
74,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4058171745152354,complete
75,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4598337950138504,complete
76,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4778393351800554,complete
77,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.425207756232687,complete
78,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.40997229916897504,complete
79,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.34349030470914127,complete
80,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.45844875346260383,complete
81,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5609418282548477,complete
82,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44182825484764543,complete
83,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3988919667590028,complete
84,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.38504155124653744,complete
85,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4861495844875346,complete
86,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6094182825484765,complete
87,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5817174515235457,complete
88,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4016620498614958,complete
89,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4667590027700831,complete
90,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6551246537396122,complete
91,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5138504155124654,complete
92,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5706371191135734,complete
93,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5110803324099724,complete
94,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5470914127423823,complete
95,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5554016620498614,complete
96,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.574792243767313,complete
97,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5152354570637119,complete
98,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6925207756232686,complete
99,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6565096952908587,complete
100,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.21745152354570635,complete
101,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.7257617728531855,complete
102,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4058171745152354,complete
103,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5927977839335179,complete
104,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4695290858725762,complete
105,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3490304709141274,complete
106,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44321329639889195,complete
107,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5886426592797784,complete
108,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5332409972299169,complete
109,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5969529085872576,complete
110,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5387811634349031,complete
111,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3919667590027701,complete
112,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4833795013850416,complete
113,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6371191135734072,complete
114,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4473684210526316,complete
115,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5277008310249307,complete
116,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5401662049861495,complete
117,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4903047091412742,complete
118,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.42243767313019387,complete
119,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5069252077562327,complete
120,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.7049861495844875,complete
121,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.27285318559556787,complete
122,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.556786703601108,complete
123,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6301939058171745,complete
124,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5554016620498614,complete
125,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5637119113573407,complete
126,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.667590027700831,complete
127,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3476454293628809,complete
128,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5554016620498615,complete
129,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4085872576177285,complete
130,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5554016620498615,complete
131,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4390581717451523,complete
132,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.23961218836565099,complete
133,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6786703601108033,complete
134,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3199445983379501,complete
135,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4986149584487534,complete
136,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44182825484764543,complete
137,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6343490304709142,complete
138,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3573407202216066,complete
139,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.2880886426592798,complete
140,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3905817174515236,complete
141,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.39196675900277017,complete
142,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6163434903047091,complete
143,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.40027700831024926,complete
144,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5734072022160666,complete
145,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.407202216066482,complete
146,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5734072022160666,complete
147,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.34072022160664817,complete
148,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.49722991689750695,complete
149,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.45290858725761773,complete
150,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4501385041551247,complete
151,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.479224376731302,complete
152,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3559556786703601,complete
153,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5152354570637119,complete
154,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4030470914127424,complete
155,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3933518005540166,complete
156,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.46121883656509693,complete
157,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.7119113573407202,complete
158,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.45429362880886426,complete
159,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4252077562326869,complete
160,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5831024930747922,complete
161,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44875346260387816,complete
162,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.26454293628808867,complete
163,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.685595567867036,complete
164,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5290858725761773,complete
165,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4445983379501385,complete
166,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.42936288088642655,complete
167,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44182825484764543,complete
168,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.21191135734072017,complete
169,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.21329639889196678,complete
170,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3587257617728532,complete
171,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6745152354570636,complete
172,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5983379501385042,complete
173,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.445983379501385,complete
174,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4903047091412742,complete
175,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6371191135734071,complete
176,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3296398891966759,complete
